,id,date,group,average_mood
26,AS14.01,2014-03-21,1,6.2
27,AS14.01,2014-03-22,1,6.4
28,AS14.01,2014-03-23,1,6.8
29,AS14.01,2014-03-24,1,6.0
30,AS14.01,2014-03-25,1,6.75
31,AS14.01,2014-03-26,1,6.6
32,AS14.01,2014-03-27,1,7.0
33,AS14.01,2014-03-28,1,6.4
34,AS14.01,2014-03-29,1,8.0
35,AS14.01,2014-03-30,1,7.5
36,AS14.01,2014-03-31,1,7.4
37,AS14.01,2014-04-01,1,6.0
38,AS14.01,2014-04-02,1,6.5
39,AS14.01,2014-04-03,1,6.4
40,AS14.01,2014-04-04,1,6.2
41,AS14.01,2014-04-05,1,6.8
42,AS14.01,2014-04-06,1,6.5
43,AS14.01,2014-04-07,1,6.5
44,AS14.01,2014-04-08,1,6.6
45,AS14.01,2014-04-09,1,7.4
46,AS14.01,2014-04-10,1,7.4
47,AS14.01,2014-04-11,1,7.0
48,AS14.01,2014-04-12,1,7.25
49,AS14.01,2014-04-13,1,8.0
50,AS14.01,2014-04-14,1,7.2
51,AS14.01,2014-04-15,1,6.4
52,AS14.01,2014-04-16,1,7.2
53,AS14.01,2014-04-17,1,6.6
54,AS14.01,2014-04-18,1,6.8
55,AS14.01,2014-04-19,1,7.8
56,AS14.01,2014-04-20,1,7.25
57,AS14.01,2014-04-21,1,7.6
58,AS14.01,2014-04-22,1,7.4
59,AS14.01,2014-04-23,1,7.6
60,AS14.01,2014-04-24,1,7.6
61,AS14.01,2014-04-25,1,7.2
62,AS14.01,2014-04-26,1,7.6
63,AS14.01,2014-04-27,1,7.5
64,AS14.01,2014-04-28,1,7.6
65,AS14.01,2014-04-29,1,7.0
66,AS14.01,2014-04-30,1,7.8
67,AS14.01,2014-05-01,1,8.0
68,AS14.01,2014-05-02,1,7.6
69,AS14.01,2014-05-03,1,8.0
70,AS14.01,2014-05-04,1,8.0
99,AS14.02,2014-03-16,2,6.333333333333333
100,AS14.02,2014-03-17,2,6.75
101,AS14.02,2014-03-18,2,8.2
102,AS14.02,2014-03-19,2,6.8
103,AS14.02,2014-03-20,2,7.25
104,AS14.02,2014-03-21,2,7.5
105,AS14.02,2014-03-22,2,6.5
106,AS14.02,2014-03-23,2,6.25
107,AS14.02,2014-03-24,2,6.4
108,AS14.02,2014-03-25,2,7.75
109,AS14.02,2014-03-26,2,7.2
110,AS14.02,2014-03-27,2,7.25
111,AS14.02,2014-03-28,2,6.8
112,AS14.02,2014-03-29,2,7.25
113,AS14.02,2014-03-30,2,7.0
114,AS14.02,2014-03-31,2,7.2
115,AS14.02,2014-04-01,2,7.4
116,AS14.02,2014-04-02,2,6.4
117,AS14.02,2014-04-03,2,5.75
118,AS14.02,2014-04-04,2,6.4
119,AS14.02,2014-04-05,2,7.4
120,AS14.02,2014-04-06,2,4.5
121,AS14.02,2014-04-07,2,6.8
122,AS14.02,2014-04-08,2,6.25
123,AS14.02,2014-04-09,2,7.25
124,AS14.02,2014-04-10,2,7.25
125,AS14.02,2014-04-11,2,6.5
126,AS14.02,2014-04-12,2,6.0
127,AS14.02,2014-04-13,2,7.2
128,AS14.02,2014-04-14,2,8.0
129,AS14.02,2014-04-15,2,7.25
130,AS14.02,2014-04-16,2,6.666666666666667
131,AS14.02,2014-04-17,2,6.5
132,AS14.02,2014-04-18,2,6.5
133,AS14.02,2014-04-19,2,5.666666666666667
134,AS14.02,2014-04-20,2,5.0
135,AS14.02,2014-04-21,2,5.5
136,AS14.02,2014-04-22,2,5.666666666666667
137,AS14.02,2014-04-23,2,5.5
138,AS14.02,2014-04-24,2,7.0
139,AS14.02,2014-04-25,2,9.0
168,AS14.03,2014-03-21,3,9.0
169,AS14.03,2014-03-22,3,7.8
170,AS14.03,2014-03-23,3,8.2
171,AS14.03,2014-03-24,3,7.8
172,AS14.03,2014-03-25,3,7.8
173,AS14.03,2014-03-26,3,8.25
174,AS14.03,2014-03-27,3,7.75
