,id,date,group,mood_class,average_mood,average_arousal,average_valence,average_activity,total_sms,total_calls,total_other,attr1,attr2,attr3,attr4
0,AS14.01,2014-03-21,1.0,1,6.2,0.2,0.2,0.1340501039893886,0.0,6.0,239.751,172.20600000000002,1514.199,25267.25300006484,4558.044000000001
1,AS14.01,2014-03-22,1.0,1,6.4,0.6,0.5,0.2368802192399581,1.0,3.0,98.143,0.0,154.926,11198.402999536513,460.7079999999999
2,AS14.01,2014-03-23,1.0,2,6.8,0.2,0.8,0.1427411158050636,0.0,0.0,72.82300000000001,0.0,30.086,12105.497001447677,974.628
3,AS14.01,2014-03-24,1.0,1,6.0,0.8,0.0,0.0789610561155979,0.0,10.0,66.55799999999999,3.01,598.537,25294.951000547404,3257.7320000000004
4,AS14.01,2014-03-25,1.0,2,6.75,0.5,0.5,0.0983741123905068,1.0,0.0,178.819,0.0,222.893,31820.311999065387,2197.748
5,AS14.01,2014-03-26,1.0,2,6.6,-0.2,0.6,0.1013083216700759,0.0,0.0,97.498,0.0,33.365,26323.03300035667,4644.39
6,AS14.01,2014-03-27,1.0,3,7.0,0.2,0.8,0.1595106409690974,1.0,2.0,58.532,182.451,226.34299999999996,25018.00099938011,977.6
7,AS14.01,2014-03-28,1.0,1,6.4,-0.6,0.6,0.0956980216371201,0.0,5.0,225.951,233.036,1434.7259999999997,6795.724999605181,601.907
8,AS14.01,2014-03-29,1.0,5,8.0,0.2,1.0,0.0682028101018696,1.0,4.0,169.594,0.0,653.0719999999999,12670.7429997406,472.888
9,AS14.01,2014-03-30,1.0,4,7.5,-0.5,0.75,0.049092970521542,0.0,0.0,74.003,0.0,38.296,7357.396000940327,234.162
10,AS14.01,2014-03-31,1.0,4,7.4,0.0,0.6,0.0705054808833895,0.0,6.0,268.55400000000003,51.176,393.68600000000004,18928.39100034904,1421.2
11,AS14.01,2014-04-01,1.0,1,6.0,0.2,0.0,0.118443242712736,0.0,1.0,121.19,327.129,2132.257,24300.069002044675,5540.067000000001
12,AS14.01,2014-04-02,1.0,2,6.5,0.3333333333333333,0.6666666666666666,0.1019166106382234,0.0,4.0,541.541,90.481,341.371,29622.042999917987,3676.569
13,AS14.01,2014-04-03,1.0,1,6.4,-1.2,0.0,0.049238472708441,0.0,4.0,213.902,0.0,201.85399999999998,35695.466000753404,3230.475
14,AS14.01,2014-04-04,1.0,1,6.2,0.2,0.4,0.1266893112073258,1.0,2.0,176.80100000000002,0.0,286.933,19406.266000013355,2086.197
15,AS14.01,2014-04-05,1.0,2,6.8,-0.4,0.6,0.1190023022034455,0.0,0.0,81.133,0.0,306.901,5302.208999994278,363.208
16,AS14.01,2014-04-06,1.0,2,6.5,-0.75,0.5,0.0644077994424681,0.0,4.0,119.12,114.406,46.249,11010.278999788283,321.46
