,id,date,mood_class,average_mood,last_5day_average_mood,last_5day_average_arousal,last_5day_average_valence,last_5day_average_activity,last_5day_total_screen,last_5day_total_sms,last_5day_total_calls,last_5day_total_built_in,last_5day_total_communication,last_5day_total_entertainment,last_5day_total_finance,last_5day_total_game,last_5day_total_office,last_5day_total_other,last_5day_total_social,last_5day_total_travel,last_5day_total_unknown,last_5day_total_utilities,last_5day_total_weather
5,AS14.01,2014-03-26,6,6.6,6.43,0.45999999999999996,0.4,0.138201321508103,13483.521200132363,0.4,3.8,1411.3234,7205.7014,448.06059999999997,38.236599999999996,0.0,35.0432,131.21880000000002,2198.4136000000003,274.5110000000001,47.0446,229.6172,6.0771999999999995
6,AS14.01,2014-03-27,6,7.0,6.51,0.38,0.48,0.13165296504424046,13172.500000190728,0.4,2.6,1016.9792000000001,7747.274,428.6652,38.794000000000004,0.0,0.602,102.76820000000001,2215.1254,91.422,47.0446,116.5394,6.0771999999999995
7,AS14.01,2014-03-28,6,6.4,6.63,0.3,0.54,0.11617904939006832,15432.497800159448,0.4,2.4,1116.5588,8141.9928,537.8682,43.0226,0.0,37.0922,94.846,2314.2752,93.4238,47.0446,128.821,6.0771999999999995
8,AS14.01,2014-03-29,8,8.0,6.55,0.14,0.5,0.10677043055647961,15062.429199790951,0.4,3.4,2871.8286,7267.895600000001,720.0795999999999,52.175200000000004,46.6072,37.0922,125.4716,2236.6556,320.02559999999994,47.0446,183.1472,0.0
9,AS14.01,2014-03-30,8,7.5,6.95,0.020000000000000007,0.7,0.10461878135373395,13717.48339962959,0.6,2.2,3088.9633999999996,5957.9082,850.1712,45.354000000000006,46.6072,36.4902,146.0788,1686.5080000000003,246.55159999999995,47.0446,267.5282,0.0
10,AS14.01,2014-03-31,8,7.4,7.1,-0.18,0.75,0.09476255297994099,10327.05520000458,0.4,2.2,2965.2828,4162.259,1143.6653999999999,36.7432,46.6072,36.4902,125.11560000000001,1336.1508,246.55159999999995,13.2954,230.60879999999997,0.0
11,AS14.01,2014-04-01,6,6.0,7.26,-0.13999999999999999,0.75,0.0886019848226037,9409.661800003052,0.4,3.4,3324.0644,3431.0358,1313.3536,34.528000000000006,56.8424,36.4902,159.3268,687.87,283.2278,19.153399999999998,265.9968,0.0
12,AS14.01,2014-04-02,6,6.5,7.06,-0.13999999999999999,0.5900000000000001,0.08038850517133143,9356.013000535964,0.2,3.2,3355.3023999999996,3262.8386,1391.6132000000002,126.08420000000001,103.7906,18.477600000000002,171.8584,1508.8072000000002,596.6892,19.153399999999998,333.71819999999997,0.0
13,AS14.01,2014-04-03,6,6.4,7.080000000000001,0.04666666666666667,0.6033333333333333,0.08163222297155209,12643.017400598526,0.2,3.0,2065.6531999999997,4473.5032,1459.2078,157.8064,57.183400000000006,36.5738,234.9764,2092.0174,370.08740000000006,19.153399999999998,341.649,0.0
14,AS14.01,2014-04-04,6,6.2,6.760000000000001,-0.2333333333333333,0.4033333333333333,0.07783935549286639,15258.860000801087,0.0,3.0,2139.4199999999996,6529.3648,1392.4482,173.0532,57.183400000000006,36.5738,243.83800000000002,2628.288,363.4168000000001,19.153399999999998,258.076,0.0
15,AS14.01,2014-04-05,6,6.8,6.5,-0.09333333333333335,0.3333333333333333,0.09335862363002315,16830.099400615694,0.2,3.4,2448.1128,7365.9894,1394.3582000000001,173.0532,57.183400000000006,36.5738,264.39760000000007,3011.9904,395.0650000000001,5.858,276.15520000000004,0.0
16,AS14.01,2014-04-06,6,6.5,6.38,-0.17333333333333334,0.3333333333333333,0.10305798789403435,15130.818800544741,0.2,2.2,4855.8318,6676.5437999999995,1057.8480000000002,164.8022,46.94820000000001,36.5738,226.9134,2814.501,395.97780000000006,0.0,257.8854,0.0
17,AS14.01,2014-04-07,6,6.5,6.4799999999999995,-0.36333333333333334,0.4333333333333333,0.09225089923998075,13189.502000093464,0.2,2.8,5488.4608,6128.5872,889.1634000000001,64.8022,22.8812,18.0962,226.4994,1870.7795999999998,73.05360000000005,0.0,163.608,0.0
18,AS14.01,2014-04-08,6,6.6,6.4799999999999995,-0.5633333333333332,0.35,0.08200170134719964,10887.076000070574,0.2,2.2,4951.0664,6215.558999999999,709.9124,24.4724,22.8812,3.4213999999999998,152.26080000000002,1480.1047999999998,85.10300000000004,0.0,136.496,0.0
19,AS14.01,2014-04-09,8,7.4,6.5200000000000005,-0.4033333333333333,0.4166666666666667,0.08721941845778114,9626.935400295257,0.2,1.6,4665.3114,5511.0696,1144.482,13.0518,22.8812,3.4213999999999998,151.38320000000002,1380.2808,81.28660000000005,0.0,107.17020000000002,0.0
20,AS14.01,2014-04-10,8,7.4,6.76,-0.6033333333333334,0.5366666666666667,0.08595837912278173,9862.711000490188,0.0,2.0,4601.469,5650.1592,1023.5906000000001,13.0518,22.8812,3.4213999999999998,185.35380000000004,1528.3114,49.63840000000005,0.0,196.9036,0.0
21,AS14.01,2014-04-11,6,7.0,6.880000000000001,-0.6033333333333333,0.5766666666666667,0.07795053972107083,11053.844600343704,0.0,3.4,1744.5399999999997,6249.3596,1380.0954,13.0518,23.093,8.0604,190.711,1690.6132000000002,12.049400000000045,0.0,248.6498,0.0
22,AS14.01,2014-04-12,8,7.25,6.980000000000001,-0.6933333333333334,0.6366666666666667,0.0810662202471893,11665.749400424958,0.0,2.6,1508.6137999999996,6245.5294,1737.8802,31.8704,0.2118,8.0604,177.1774,1745.6826,18.896200000000043,0.0,282.32959999999997,0.0
23,AS14.01,2014-04-13,8,8.0,7.130000000000001,-0.7100000000000001,0.7366666666666667,0.08538190830638935,12046.635000658036,0.0,2.4,1383.6275999999993,6093.543,2085.7524000000003,22.6448,0.2118,4.639,158.9144,1503.4854,7.853000000000046,0.0,311.6458,0.0
