,average_mood,mood_class
0,6.2,1
1,6.4,1
2,6.8,2
3,6.0,1
4,6.75,2
5,6.6,2
6,7.0,3
7,6.4,1
8,8.0,5
9,7.5,4
10,7.4,4
11,6.0,1
12,6.5,2
13,6.4,1
14,6.2,1
15,6.8,2
16,6.5,2
17,6.5,2
18,6.6,2
19,7.4,4
20,7.4,4
21,7.0,3
22,7.25,4
23,8.0,5
24,7.2,4
25,6.4,1
26,7.2,4
27,6.6,2
28,6.8,2
29,7.8,5
30,7.25,4
31,7.6,5
32,7.4,4
33,7.6,5
34,7.6,5
35,7.2,4
36,7.6,5
37,7.5,4
38,7.6,5
39,7.0,3
40,7.8,5
41,8.0,5
42,7.6,5
43,8.0,5
44,8.0,5
45,6.333333333333333,1
46,6.75,2
47,8.2,5
48,6.8,2
49,7.25,4
50,7.5,4
51,6.5,2
52,6.25,1
53,6.4,1
54,7.75,5
55,7.2,4
56,7.25,4
57,6.8,2
58,7.25,4
59,7.0,3
60,7.2,4
61,7.4,4
62,6.4,1
63,5.75,1
64,6.4,1
65,7.4,4
66,4.5,1
67,6.8,2
68,6.25,1
69,7.25,4
70,7.25,4
71,6.5,2
72,6.0,1
73,7.2,4
74,8.0,5
75,7.25,4
76,6.666666666666667,2
77,6.5,2
78,6.5,2
79,5.666666666666667,1
80,5.0,1
81,5.5,1
82,5.666666666666667,1
83,5.5,1
84,7.0,3
85,9.0,5
86,9.0,5
87,7.8,5
88,8.2,5
89,7.8,5
90,7.8,5
91,8.25,5
92,7.75,5
93,8.0,5
94,8.6,5
95,8.4,5
96,7.4,4
97,7.6,5
98,7.4,4
99,7.8,5
100,7.8,5
101,7.6,5
102,6.8,2
103,7.4,4
104,7.4,4
105,7.8,5
106,7.4,4
107,7.6,5
108,7.666666666666667,5
109,7.4,4
110,7.0,3
111,7.6,5
112,8.0,5
113,7.25,4
114,7.5,4
115,7.8,5
116,7.5,4
117,7.4,4
118,7.6,5
119,7.0,3
120,7.4,4
121,7.5,4
122,7.5,4
123,7.6,5
124,7.0,3
125,7.2,4
126,7.0,3
127,7.2,4
128,7.6,5
129,7.75,5
130,7.4,4
131,7.25,4
132,8.0,5
133,6.2,1
134,6.333333333333333,1
135,6.0,1
136,7.5,4
137,6.75,2
138,7.2,4
139,7.25,4
140,3.75,1
141,4.4,1
142,3.75,1
143,5.333333333333333,1
144,5.5,1
145,5.8,1
146,6.2,1
147,6.4,1
148,6.2,1
149,6.8,2
150,7.0,3
151,7.0,3
152,7.2,4
153,7.0,3
154,7.5,4
155,6.8,2
156,6.75,2
157,6.75,2
158,7.0,3
159,7.2,4
160,7.0,3
161,7.0,3
162,7.5,4
163,6.4,1
164,7.0,3
165,7.2,4
166,6.6,2
167,7.5,4
168,7.2,4
169,7.2,4
170,7.2,4
171,7.2,4
172,7.2,4
173,7.2,4
174,7.2,4
175,7.8,5
176,7.4,4
177,7.0,3
178,6.8,2
179,7.0,3
180,6.8,2
181,7.0,3
182,6.75,2
183,7.0,3
184,6.333333333333333,1
185,7.0,3
186,7.0,3
187,8.0,5
188,7.0,3
189,7.6,5
190,7.8,5
191,7.8,5
192,7.0,3
193,7.75,5
194,6.8,2
195,7.2,4
196,7.0,3
197,7.0,3
198,7.0,3
199,6.2,1
200,6.6,2
201,7.4,4
202,7.6,5
203,7.8,5
204,8.2,5
205,6.5,2
206,7.25,4
207,7.0,3
